race_id,pace,opinion_text
202501010708,H,ハイペースが予想される今回のレースでは、末脚が重要な要素となります。注目すべきは、末脚に優れるウォーターリーダーで...
202501010709,S,コスモス賞はスローペースが予想されるため、先行力が重要となります。注目すべきは、速い立ち上がりを持つミリオンクラウ...
202501010710,M,知床特別はハイペースが予想されるため、末脚が強い馬が有利です。特に注目したいのはエスペシャリー、カワキタマナレア、...
202501010711,H,今回の大雪HCはハイペースが予想されており、末脚が鋭い馬が有利と見られます。まず注目すべきは上位人気馬のホウオウス...
202501010712,M,石狩特別では、ミドルペースが予想されるため、先行力と末脚の両方が求められます。まず注目すべきは上位人気馬のクモヒト...
202501010801,H,今回の2歳未勝利戦はハイペースが予想され、末脚の鋭い馬が有利となります。特に注目すべきは、ライトアズフェザー、ハル...
202501010802,M,今回の3歳未勝利戦はミドルペースが予想されており、先行力と末脚の両方が求められます。注目すべき3頭は、まず上位人気...
202501010803,M,今回の3歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が求められます。注目すべき3頭を挙げると、まず...
202501010804,H,ハイペースが予想される今回のレースでは、末脚が重要となります。特に注目すべきはビービーバザーク、エポカリーナ、そし...
202501010805,M,スローペースが予想される今回の２歳新馬戦では、先行力のある馬が有利です。特に注目の馬は、ジャスティンシカゴ、ショウ...
202501010806,H,ハイペースが予想される今回のレースでは、末脚の鋭さが鍵となります。特に注目すべきはミニョンマルーンです。
202501010807,M,ミドルペースが予想される今回のレースでは、先行力と末脚のバランスが求められます。注目の一頭はルナルーチェットです。...
202501010808,H,今回の３歳以上１勝クラスはハイペースが予想されるため、末脚が重要です。注目すべき上位人気馬の一頭はディアウスです。...
202501010809,H,今回の小樽特別はハイペースが予想されるため、末脚が重要です。注目の上位人気馬としては、クインズスピカが挙げられます...
202501010810,H,ハイペースが予想される大通公園特別では、末脚の鋭い馬が有利です。まず注目したいのはジーベックです。後半...
202501010811,M,札幌記念の展開予測として、ミドルペースが予想されるため、先行力と末脚の両方を兼ね備えた馬が有利です。注目すべき上位...
202501010812,S,今回の阿寒湖特別ではスローペースが予想されるため、先行力がある馬が有利です。特に注目したいのはウインマクシマムです...
202501020101,M,今回の２歳未勝利戦はミドルペースが予想され、先行力と末脚の両方が求められるレース展開となりそうです。注目すべきは、...
202501020102,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要なポイントとなります。特に注目の馬は、末脚に優れるジョイナ...
202501020103,M,ミドルペースが予想される今回の３歳未勝利戦では、先行力と末脚の両方が重要です。注目すべきは、ウインキララ、リックメ...
202501020104,H,ハイペースが予想される今回のレースでは、末脚の強い馬が有利です。特に注目すべきは、後半の末脚が安定しているハッピー...
202501020105,S,今回の２歳新馬戦はスローペースが予想されるため、先行力が重要です。注目の一頭はグリオンヴールです。予測...
202501020106,M,ミドルペースの展開が予想される今回のレースでは、先行力と末脚のバランスが重要です。特に注目すべきは、パルティキュリ...
202501020107,M,今回の３歳以上１勝クラスはミドルペースが予想されるため、先行力と末脚の両方が求められます。注目すべき馬としては、ま...
202501020108,M,ミドルペースが予想される今回のレースでは、先行力と末脚の両方が求められます。注目の馬はベイラム、ピストルスター、そ...
202501020109,M,今回のクローバー賞はミドルペースが予想され、先行力と末脚の両方が重要となります。注目の馬は、まず上位人気のドルチェ...
202501020110,M,今回のWASJ第１戦ではミドルペースが予想されるため、先行力と末脚の両方が求められます。注目すべき馬は、まず上位人...
202501020111,M,ミドルペースが予測される今回のWASJ第２戦では、先行力と末脚の両方が求められる展開となりそうです。注目すべきは、...
202501020112,H,ニセコ特別はハイペースが予想されるため、末脚が重要となります。注目の馬は、上位人気馬の中からロードスカイブルーです...
202501020201,H,今回の２歳未勝利戦はハイペースが予想され、末脚が重要となります。まず注目すべきはリフレックスです。先行...
202501020202,M,今回の２歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方を持つ馬が有利です。注目の馬はアニマレイ、レッ...
202501020203,H,ハイペースが予想される今回のレースでは、末脚が重要となります。特に注目の馬は、末脚が安定しているビービーバザーク、...
202501020204,S,スローペースが予想される今回の３歳未勝利戦では、先行力が重要です。特に注目したいのは、ヤマニンヒストリア、シャイン...
202501020205,S,今回の２歳新馬戦はスローペースが予想されるため、先行力がある馬が有利です。注目すべきは、先行力が高いリスレジャンデ...
202501020206,M,今回の３歳未勝利戦ではハイペースが予想されるため、末脚の強い馬が有利です。注目の馬は、セガンティーニ、サマースピリ...
202501020207,H,ハイペースが予想される今回のレースでは、末脚が重要となります。注目の馬としては、ディニトーソ、イチトゼロノアイダ、...
202501020208,H,ハイペースが予想される今回のレースでは、末脚が重要な要素となるでしょう。注目すべき馬は3頭あります。ま...
202501020209,M,ルスツ特別では、ミドルペースが予想されます。先行力と末脚の両方を持つ馬が有利です。注目の一頭はシンゼン...
202501020210,H,今回のWASJ第３戦はハイペースが予想されるため、末脚の鋭い馬が有利です。注目の上位人気馬の中で末脚が光るのはオコ...
202501020211,H,キーンランドCではハイペースが予想されるため、末脚に優れる馬が有利です。注目の上位人気馬の中では、パンジャタワーが...
202501020212,M,今回のWASJ第４戦はミドルペースが予想されます。注目すべきは先行力と末脚のバランスが取れている馬たちです。
202501020301,M,２歳未勝利戦はミドルペースが予想され、先行力と末脚のバランスが重要です。注目のエリカビアリッツは先行力があり、3コ...
202501020302,S,今回の2歳未勝利戦ではスローペースが予測されており、先行力がある馬が有利です。注目の馬は、まず上位人気のノチェセラ...
202501020303,H,ハイペースが予想される今回のレースでは、末脚が決め手となるでしょう。注目の馬は、ホウオウサムレット、トリプレーテ、...
202501020304,M,ミドルペースが予想される今回のレースでは、先行力と末脚の両方が求められます。注目の上位人気馬の中では、トレヴィが先...
202501020305,H,ハイペースが予想される今回のレースでは、末脚が重要となります。注目の上位人気馬であるリュウカルネは、先行力もありつ...
202501020306,M,今回の３歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が求められます。注目の上位人気馬の中では、スト...
202501020307,H,ハイペースが予想される今回の３歳以上１勝クラスでは、末脚が重要となります。特に注目したいのは、好調な末脚を持つ上位...
202501020308,H,今回の３歳以上１勝クラスはハイペースが予想されるため、末脚が重要となります。特に注目したいのはプチブール、ヴェラグ...
202501020309,H,ハイペースが予想されるすずらん賞では、末脚が問われる展開となりそうだ。まず注目したいのはショウナンカリス。
202501020310,H,ハイペースが予想される千歳特別では、末脚が重要な要素となります。注目の一頭はリアライズカミオンです。先...
202501020311,M,札幌日刊スポーツ杯ではミドルペースが予想されるため、先行力と末脚の両方が求められます。注目すべきは、速い先行力を持...
202501020312,H,ハイペースが予想される今回のレースでは、末脚の切れ味が勝負の鍵を握ります。まず注目したいのは、ウィンストンです。<...
202501020401,M,今回の２歳未勝利戦では、ミドルペースが予想されており、先行力と末脚の両方が求められる展開となりそうです。注目の上位...
202501020402,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚が重要となります。注目すべきは、ユージュアーナです。
202501020403,H,ハイペースが予想される今回の３歳未勝利戦では、末脚の鋭い馬が有利となるでしょう。特に注目したいのは、ステラノヴァで...
202501020404,M,今回の３歳未勝利戦はミドルペースが予想されています。先行力と末脚のバランスが求められる一戦となるでしょう。
202501020405,S,今回の２歳新馬戦はスローペースが予想されるため、先行力が求められる展開となりそうです。注目の馬はネッタイヤライ、エ...
202501020406,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要な要素となります。特に注目したいのは、サトミノエンジェル。...
202501020407,S,今回の３歳以上１勝クラスではスローペースが予想され、スタートダッシュが重要な要素となります。特に注目したいのは、先...
202501020408,H,ハイペースが予想される今回のレースでは、末脚が重要となる。注目すべきは、タマモジャスミンだ。スタートか...
202501020409,S,今回の北辰特別ではスローペースが予想されるため、スタートダッシュが利く馬が有利です。特に注目の馬は、先行力のあるマ...
202501020410,H,ハイペースが予想される今回のHBC賞では、末脚が鋭い馬に注目したい。まず、上位人気馬の中ではベビーズブレスが有力。...
202501020411,M,日高Sはミドルペースが予想され、先行力と末脚のバランスが求められます。注目のモンドデラモーレは安定した先行力を持ち...
202501020412,H,ハイペースが予想される今回のレースでは、末脚が強い馬が有利となるでしょう。特に注目したいのは、ザハントです。
202501020501,H,今回の2歳未勝利戦はハイペースが予想されるため、末脚が重要となります。特に注目したいのはリピース、ユニゾン、ティブ...
202501020502,H,ハイペースが予想される今回の2歳未勝利戦では、末脚が重要な要素となります。注目すべきは、ベルグランボヌールとラスベ...
202501020503,H,ハイペースが予想される今回のレースでは、末脚が重要なポイントとなります。注目の上位人気馬の中で、シンフォニーシーズ...
202501020504,M,今回の３歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が重要です。注目すべき馬は、まず上位人気馬のア...
202501020505,M,2歳新馬戦ではミドルペースが予測されています。先行力と末脚のバランスが重要です。注目の上位人気馬の一頭...
202501020506,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要な要素となります。まず注目すべきはビービーバザークです。<...
202501020507,M,今回の３歳以上１勝クラスではミドルペースが予想され、先行力と末脚が求められます。注目の馬としては、まず上位人気馬の...
202501020508,H,今回の３歳以上１勝クラスのレースはハイペースが予想されるため、末脚が重要となります。注目の上位人気馬の中では、ケー...
202501020509,M,富良野特別はミドルペースの予想で、先行力と末脚のバランスが鍵となります。注目すべき馬は、ヨヒーン、ウイントレメンデ...
202501020510,H,ハイペースが予想される札幌スポニチ賞では、末脚の鋭い馬が有利です。上位人気馬の中では、ハリウッドメモリーが注目され...
202501020511,M,札幌2歳Sはミドルペースが予想されるため、先行力と末脚のバランスが重要です。注目の上位人気馬の中で、ショウナンガル...
202501020512,H,ハイペースが予想される今回のレースでは、末脚が重要です。まず注目したいのは上位人気馬のベイラム。末脚の...
202501020601,M,今回の２歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が求められます。注目の上位人気馬の中からは、グ...
202501020602,S,今回の2歳未勝利戦はスローペースが予想されるため、先行力のある馬が有利です。特に注目したいのは、アッカン、サントル...
202501020603,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要なポイントとなります。注目すべき上位人気馬の中では、エピフ...
202501020604,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要となります。特に注目の馬は、ジョーブラックです。
202501020605,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚の切れる馬が有利です。注目の上位人気馬の一つ、ホウオウサムレッ...
202501020606,H,ハイペースが予想される今回のレースでは、末脚が重要となります。まず注目すべきはナンヨークリスタルです。...
202501020607,M,ミドルペースが予想される今回のレースでは、先行力と末脚の両方が重要です。注目すべきは、ダイヤモンドレイン、イリスレ...
202501020608,H,ハイペースが予想される今回のレースでは、末脚を持つ馬が有利です。注目の一頭はカウンターセブンです。安定...
202501020609,H,今回の旭川特別はハイペースが予想されるため、末脚が鍵となります。注目の馬は、トーセンサウダージ、メジャーデビュー、...
202501020610,M,今回のHTB賞はミドルペースが予想されるため、先行力と末脚の両方が求められる展開となるでしょう。注目すべき馬として...
202501020611,S,今回の丹頂Sはスローペースが予想されるため、スタートダッシュが利く馬が有利です。特に注目の馬は、速い立ち上がりを持...
202501020612,H,ハイペースが予想される今回のレースでは、末脚が重要となります。注目の上位人気馬の中では、ジュンラトゥールが安定した...
202502010101,H,今回の３歳未勝利戦はハイペースが予想されるため、後半の末脚が重要となります。特に注目すべき馬は、末脚に定評のあるセ...
202502010102,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚が重要です。注目の馬はデルマアポロニア、アレーティア、そしてリ...
202502010103,H,ハイペースが予想される今回のレースでは、末脚が強い馬が有利となるでしょう。特に注目の馬は、ラピルスイメル、ストラテ...
202502010104,M,今回の３歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が求められます。注目の上位人気馬は、セリオヴェ...
202502010105,M,今回の２歳新馬戦はミドルペースが予想されるため、先行力と末脚を兼ね備えた馬が有利です。注目の馬はプレザントトーン、...
202502010106,H,ハイペースが予測される３歳未勝利戦では、末脚が鋭い馬が有利となります。特に注目したいのは、後半の力が強いコスモシェ...
202502010107,H,今回の３歳以上１勝クラスはハイペースが予想されるため、末脚が強力な馬が有利になるでしょう。特に注目の馬はラパンチュ...
202502010108,H,ハイペースが予想される今回のレースでは、末脚が強い馬が有利です。注目すべき馬は、ブルドッグキング、ビーマックス、そ...
202502010109,M,今回の奥尻特別はミドルペースが予想されており、先行力と末脚の両方が重要です。注目すべき馬は、スモーキーゴッド、マイ...
202502010110,M,今回の松前特別はミドルペースが予想されるため、先行力と末脚の両方を兼ね備えた馬が有利です。注目の馬はリラボニート、...
202502010111,H,函館スプリントSはハイペースが予想されるため、末脚の強い馬が有利です。特に注目すべき馬はナムラクレア、カピリナ、フ...
202502010112,H,今回の３歳以上１勝クラスはハイペースが予想されるため、末脚が強い馬が有利です。特に注目すべきはサンダーロード、ゴル...
202502010201,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要な鍵を握るでしょう。特に注目したいのは、アークシャルダーム...
202502010202,H,ハイペースが予想される今回のレースでは、末脚の鋭さが重要となります。注目すべき馬は、まず上位人気のライフゲートです...
202502010203,H,ハイペースが予測される今回の３歳未勝利戦では、末脚が鍵となります。注目の上位人気馬の中では、アスゴッドが安定した末...
202502010204,S,今回の３歳未勝利戦はスローペースが予想されています。スタートダッシュが利く馬が有利となるでしょう。注目...
202502010205,M,今回の２歳新馬戦はミドルペースが予想され、先行力と末脚の両方が求められます。注目のルージュサウダージは、先行力に優...
202502010206,S,今回の３歳未勝利戦はスローペースが予想されるため、先行力が重要です。注目の馬は、速い立ち上がりを持つレクスノヴァス...
202502010207,H,ハイペースが予想される今回のレースでは、末脚が重要です。注目すべきは、上位人気馬のミライハーモニーです。
202502010208,H,ハイペースが予想される今回のレースでは、末脚が鋭い馬が有利です。注目の上位人気馬は、パッシングシャワー、アジュマン...
202502010209,M,ミドルペースが予想される八雲特別では、先行力と末脚の両方が求められる展開となりそうです。まず注目したいのは、上位人...
202502010210,H,ハイペースが予測される津軽海峡特別では、末脚の鋭さが勝負の鍵となります。注目すべきは、リアドです。リア...
202502010211,H,ハイペースが予想される函館日刊スポーツ杯では、末脚が重要となります。特に注目したいのは、末脚が強力なスイミーユニバ...
202502010212,H,ハイペースが予想される今回のレースでは、末脚の強さが鍵となります。まず注目したいのは末脚に優れるドゥラリスです。<...
202502010301,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚が強い馬が有利です。特に注目の馬はニシノコイブミ、グリフォン、...
202502010302,H,今回の３歳未勝利戦はハイペースが予測されているため、末脚が強い馬が有利です。注目すべき馬はメイショウホダワラ、ハイ...
202502010303,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚の強い馬が有利です。特に注目したいのはメイショウタイピン、イン...
202502010304,M,今回の３歳未勝利戦ではミドルペースが予想され、先行力と末脚の両方が重要となります。注目の馬はメイショウキンタイ、ア...
202502010305,H,ブラックチャリスは末脚が強く、ハイペースの中で後半での追い込みが期待されます。ショウナンカリスも先行力があり、序盤...
202502010306,H,今回の２歳新馬戦はハイペースが予想され、末脚の強い馬が有利です。注目の馬はジェム、ウレシイゴサン、リオマダムレッド...
202502010307,M,今回のレースはミドルペースが予想されるため、先行力と末脚の両方が求められます。上位人気馬のハートメテオは、先行力と...
202502010308,H,コメント:今回の３歳以上１勝クラスではハイペースが予想されるため、末脚が強い馬が有利です。注目の馬は、モンシェリ、...
202502010309,H,今回の下北半島特別はハイペースが予想されるため、末脚が強い馬が有利です。特に注目したいのはカウスリップ、ラブディー...
202502010310,S,今回の駒ケ岳特別はスローペースが予想されるため、先行力が鍵となります。特に注目したいのはイゾレエオリアです。
202502010311,H,ハイペースが予想される今回のSTV杯では、末脚の強い馬が有利です。まず注目すべきはファイツオン。前半の...
202502010312,H,ハイペースが予想される今回のレースでは、末脚の強い馬が有利となります。注目すべき上位人気馬は、サムシャインです。<...
202502010401,H,ハイペースが予想される今回の３歳未勝利戦では、末脚が重要となります。特に注目したいのはポッドデュークです。
202502010402,H,ハイペースが予想される今回のレースでは、末脚が重要です。注目の上位人気馬からは、ハッピーウィズユーが挙げられます。...
202502010403,H,今回の3歳未勝利戦はハイペースが予想され、末脚の鋭い馬が有利です。注目の馬として、上位人気のショウナンラリーは序盤...
202502010404,M,今回の3歳未勝利戦はミドルペースが予想されるため、先行力と末脚の両方が求められます。注目すべき馬として、まず上位人...
202502010405,H,ハイペースが予想される今回のレースでは、末脚に注目が集まります。まず注目すべきは、カレンショーです。カ...
202502010406,H,ハイペースが予想される今回の３歳未勝利戦では、末脚の強い馬が有利です。注目すべきは、ザハント、マンオブザマッチ、そ...
202502010407,M,ミドルペースが予想される今回のレースでは、先行力と末脚の両方が重要です。まず注目したいのは、上位人気馬のウインシャ...
202502010408,H,ハイペースが予想される今回のレースでは、末脚が重要な要素となります。特に注目すべき馬は、末脚が優れているカランダッ...
202502010409,M,今回の遊楽部特別はミドルペースが予想されており、先行力と末脚の両方が求められます。まず注目すべきはウインデイジーで...
202502010410,H,今回の檜山特別はハイペースが予想されるため、末脚が強い馬に注目が集まります。まず、上位人気馬のバギーウィップは安定...
202502010411,H,ハイペースが予想される今回のUHB杯では、末脚が強い馬が有利です。特に注目したいのは、後半のスピードが光るオーサム...
202502010412,H,ハイペースが予想される今回の３歳以上１勝クラスでは、末脚が重要になります。注目の上位人気馬からは、プレゼンティーア...
202502010501,H,今回の３歳未勝利戦はハイペースが予想されるため、末脚が重要です。上位人気馬の中で特に注目したいのはリリーオブザハー...
202502010502,M,ミドルペースが予想される今回の3歳未勝利戦では、先行力と末脚のバランスが重要です。注目すべき馬は、まず上位人気のピ...
202502010503,H,ハイペースが予測される今回の３歳未勝利戦では、末脚の鋭さが重要となります。注目すべき馬としては、まず上位人気馬のデ...
202502010504,M,スローペースが予想される今回のレースでは、先行力が重要となります。注目すべきは、まず上位人気馬のアルマデオロです。...
