race_id,horse_id,video_gait_coverage,video_gait_aspect_mean,video_gait_aspect_std,video_gait_aspect_range,video_gait_area_mean,video_gait_area_std,video_gait_w_mean,video_gait_h_mean,video_gait_conf_mean,video_gait_conf_std,video_gait_conf_min,video_gait_motion_dcx_mean,video_gait_motion_dcy_mean,video_gait_motion_speed_mean,video_gait_motion_speed_std,video_gait_motion_speed_max,video_gait_area_change_mean,video_gait_aspect_change_mean,video_body_coat_brightness_mean,video_body_coat_brightness_std,video_body_coat_saturation_mean,video_body_coat_saturation_std,video_body_coat_contrast_mean,video_body_coat_contrast_std,video_body_body_aspect_mean,video_body_body_aspect_std,video_body_body_compactness_mean,video_body_body_compactness_std,video_body_color_r_mean,video_body_color_g_mean,video_body_color_b_mean,video_body_condition_score_mean,video_body_condition_score_std
202606030605,2023102558,0.962,1.461,0.2,1.077,157686.4,35746.0,478.4,326.6,0.556,0.206,0.267,-0.15,1.12,25.92,33.31,139.6,12331.5,0.126,0.3989,0.0317,0.062,0.0043,0.2103,0.0143,1.4587,0.1989,0.3046,0.0693,0.4186,0.4062,0.3717,0.6701,0.0331
202606030605,2023103799,0.962,1.881,0.326,0.774,173372.7,42213.8,569.9,302.0,0.603,0.157,0.453,-4.95,-0.93,19.67,28.15,123.2,8858.2,0.097,0.4246,0.0215,0.0826,0.0077,0.2149,0.0076,1.8779,0.3223,0.3345,0.0817,0.456,0.4312,0.3865,0.7034,0.0221
202606030605,2023105418,1.0,1.333,0.095,0.605,165121.9,25713.2,467.9,351.0,0.919,0.01,0.891,2.53,-0.08,12.5,16.61,46.8,6017.0,0.061,0.5477,0.0652,0.0713,0.008,0.2799,0.0211,1.3348,0.0954,0.3184,0.0495,0.5793,0.5466,0.5172,0.8063,0.035
202606030606,2023100954,1.0,1.542,0.154,0.554,145220.1,11197.2,472.0,308.1,0.837,0.065,0.716,0.12,0.21,10.66,11.48,40.8,5150.4,0.06,0.4857,0.0393,0.0791,0.0066,0.2418,0.0166,1.5438,0.1542,0.28,0.0216,0.5202,0.4875,0.4494,0.7644,0.0292
202606030606,2023103061,0.923,1.646,0.253,0.856,144092.1,30052.1,485.9,294.9,0.505,0.13,0.3,2.07,0.99,31.92,36.61,106.2,15069.7,0.138,0.4276,0.0231,0.081,0.0067,0.1969,0.0082,1.6448,0.2519,0.2783,0.0582,0.4602,0.428,0.3946,0.6867,0.0253
202606030606,2023103793,0.769,1.954,0.282,0.696,150889.2,15794.6,541.9,279.2,0.582,0.163,0.209,3.96,-1.37,28.57,27.82,88.3,11824.3,0.123,0.4266,0.0131,0.0825,0.0045,0.2018,0.006,1.9524,0.2805,0.291,0.0306,0.4564,0.4371,0.3864,0.6917,0.0155
202606030701,2023101659,1.0,1.404,0.067,0.391,150126.8,6809.6,459.0,327.1,0.781,0.056,0.549,-3.74,-0.9,7.92,15.73,55.3,3440.5,0.033,0.3843,0.0092,0.1021,0.0028,0.1884,0.005,1.4004,0.0673,0.2901,0.013,0.4346,0.3777,0.3407,0.6584,0.0124
202606030701,2023107095,1.0,1.619,0.13,0.512,122414.7,8280.8,444.8,275.3,0.805,0.091,0.586,-1.26,-0.53,27.85,24.8,84.7,8945.6,0.1,0.433,0.0773,0.0718,0.0147,0.2311,0.0367,1.6173,0.1303,0.2361,0.016,0.4578,0.4375,0.4037,0.709,0.0594
202606030702,2023100629,1.0,1.628,0.094,0.274,148900.4,11735.8,491.4,302.8,0.797,0.144,0.61,0.3,0.42,17.8,18.35,64.2,2952.3,0.065,0.4036,0.0117,0.0792,0.0037,0.223,0.0065,1.6297,0.0923,0.2869,0.0223,0.437,0.4058,0.3683,0.6952,0.0134
202606030702,2023105682,1.0,1.538,0.152,0.65,137105.3,19025.5,458.2,298.6,0.823,0.098,0.502,2.12,-0.11,23.44,18.5,66.3,8986.6,0.143,0.3992,0.0307,0.074,0.0044,0.2057,0.0252,1.5391,0.1521,0.2643,0.0367,0.4166,0.4092,0.3718,0.6721,0.0452
202606030703,2023105795,1.0,1.375,0.144,0.517,131403.7,14896.4,424.9,309.1,0.897,0.038,0.754,-1.09,-0.57,12.18,12.62,39.4,6803.5,0.035,0.4934,0.0338,0.1182,0.0055,0.2397,0.0214,1.3745,0.1434,0.2537,0.029,0.5503,0.4908,0.4389,0.7864,0.029
202606030703,2023105839,1.0,1.614,0.21,0.76,161297.5,14221.1,509.1,317.4,0.737,0.153,0.387,-1.73,0.93,27.59,24.39,92.8,10277.5,0.208,0.3644,0.0138,0.0922,0.0062,0.2064,0.005,1.614,0.2094,0.3112,0.0273,0.4002,0.3688,0.3242,0.6576,0.0149
202606030801,2023102247,1.0,1.45,0.137,0.539,132099.5,19985.5,436.6,301.4,0.763,0.167,0.382,-2.49,-1.29,35.06,20.71,80.1,14354.4,0.162,0.4471,0.0676,0.0639,0.0099,0.2361,0.029,1.451,0.137,0.2549,0.0385,0.4541,0.4535,0.4338,0.7219,0.0505
202606030801,2023105555,1.0,1.318,0.17,0.845,134779.5,14378.5,420.7,321.0,0.871,0.121,0.408,-2.44,-0.3,56.96,134.63,459.2,6355.1,0.109,0.5977,0.0746,0.081,0.0104,0.2852,0.0071,1.3176,0.1697,0.2601,0.0278,0.6233,0.5953,0.5745,0.8208,0.0188
202606030802,2023102841,1.0,1.434,0.156,0.405,190787.7,10311.1,522.3,366.1,0.83,0.088,0.461,2.32,-2.11,18.42,23.22,74.4,10439.3,0.062,0.4777,0.0118,0.0967,0.004,0.2296,0.0038,1.4348,0.1554,0.3679,0.02,0.5071,0.485,0.4411,0.7622,0.01
202606030802,2023103149,0.762,1.717,0.112,0.556,150102.9,7003.9,507.6,295.9,0.71,0.109,0.413,-2.96,-0.16,13.07,21.52,72.1,5236.1,0.07,0.3762,0.0514,0.054,0.0068,0.1707,0.007,1.7173,0.1126,0.2896,0.0134,0.3769,0.3875,0.3644,0.6111,0.046
202606030803,2023101814,1.0,1.368,0.122,0.539,125012.7,4984.0,413.2,303.1,0.898,0.012,0.865,2.47,0.38,16.09,21.16,66.3,3575.9,0.041,0.5006,0.0437,0.0752,0.0096,0.2872,0.0183,1.3703,0.1245,0.2411,0.0099,0.5341,0.5014,0.4662,0.811,0.0341
202606030803,2023110029,1.0,1.517,0.101,0.347,122445.1,9002.0,430.8,284.2,0.827,0.075,0.733,-0.46,0.08,12.11,12.28,40.6,4225.4,0.061,0.4599,0.017,0.0983,0.0063,0.2327,0.0042,1.5165,0.1019,0.2362,0.017,0.4983,0.4657,0.4156,0.7536,0.0138
